Customer_Id,Transaction_Id,Item,Date,Quantity,Amount
1039,1,Beef,2024-01-01 01:00:00,2,31.84
1039,1,Chicken,2024-01-01 01:00:00,3,74.29
1039,1,Fish,2024-01-01 01:00:00,1,94.16
1042,2,Apples,2024-01-01 02:00:00,3,73.85
1042,2,Tea,2024-01-01 02:00:00,3,96.57
1003,3,Sugar,2024-01-01 03:00:00,1,95.06
1003,3,Tea,2024-01-01 03:00:00,1,73.07
1050,4,Yogurt,2024-01-01 04:00:00,2,52.65
1050,4,Milk,2024-01-01 04:00:00,1,42.33
1008,5,Apples,2024-01-01 05:00:00,3,34.27
1008,5,Bananas,2024-01-01 05:00:00,1,46.23
1008,5,Oranges,2024-01-01 05:00:00,2,69.52
1036,6,Sugar,2024-01-01 06:00:00,2,111.82
1036,6,Milk,2024-01-01 06:00:00,3,22.39
1036,6,Tea,2024-01-01 06:00:00,3,82.92
1017,7,Oranges,2024-01-01 07:00:00,3,120.62
1041,8,Eggs,2024-01-01 08:00:00,3,129.01
1041,8,Butter,2024-01-01 08:00:00,2,23.36
1041,8,Flour,2024-01-01 08:00:00,3,53.54
1022,9,Sugar,2024-01-01 09:00:00,3,88.57
1022,9,Coffee,2024-01-01 09:00:00,3,26.74
1015,10,Bread,2024-01-01 10:00:00,3,38.43
1013,11,Tea,2024-01-01 11:00:00,1,52.67
1013,11,Butter,2024-01-01 11:00:00,2,81.5
1013,11,Oranges,2024-01-01 11:00:00,1,77.88
1015,12,Eggs,2024-01-01 12:00:00,3,55.25
1015,12,Butter,2024-01-01 12:00:00,1,66.54
1015,12,Flour,2024-01-01 12:00:00,2,146.05
1019,13,Apples,2024-01-01 13:00:00,2,30.29
1019,13,Pasta,2024-01-01 13:00:00,2,147.99
1022,14,Sugar,2024-01-01 14:00:00,3,124.3
1022,14,Tea,2024-01-01 14:00:00,1,31.1
1036,15,Sugar,2024-01-01 15:00:00,3,109.56
1036,15,Coffee,2024-01-01 15:00:00,3,41.71
1040,16,Sugar,2024-01-01 16:00:00,3,141.14
1040,16,Tea,2024-01-01 16:00:00,1,104.6
1009,17,Apples,2024-01-01 17:00:00,1,58.89
1009,17,Fish,2024-01-01 17:00:00,3,129.89
1011,18,Milk,2024-01-01 18:00:00,1,32.63
1011,18,Bread,2024-01-01 18:00:00,2,103.66
1011,18,Butter,2024-01-01 18:00:00,2,11.29
1018,19,Sugar,2024-01-01 19:00:00,2,86.82
1018,19,Coffee,2024-01-01 19:00:00,2,72.78
1022,20,Yogurt,2024-01-01 20:00:00,2,92.58
1046,21,Yogurt,2024-01-01 21:00:00,1,133.69
1046,21,Bananas,2024-01-01 21:00:00,1,143.43
1046,21,Oranges,2024-01-01 21:00:00,1,69.95
1002,22,Cheese,2024-01-01 22:00:00,2,113.71
1002,22,Bananas,2024-01-01 22:00:00,1,29.13
1002,22,Eggs,2024-01-01 22:00:00,2,60.33
1050,23,Apples,2024-01-01 23:00:00,1,95.61
1050,23,Bananas,2024-01-01 23:00:00,2,10.73
1050,23,Oranges,2024-01-01 23:00:00,1,37.2
1028,24,Sugar,2024-01-02 00:00:00,2,23.16
1028,24,Coffee,2024-01-02 00:00:00,3,104.08
1022,25,Eggs,2024-01-02 01:00:00,2,130.46
1022,25,Butter,2024-01-02 01:00:00,1,15.23
1022,25,Flour,2024-01-02 01:00:00,2,52.46
1044,26,Cheese,2024-01-02 02:00:00,1,74.02
1044,26,Pasta,2024-01-02 02:00:00,2,17.24
1016,27,Sugar,2024-01-02 03:00:00,1,145.74
1016,27,Coffee,2024-01-02 03:00:00,2,55.21
1005,28,Eggs,2024-01-02 04:00:00,2,112.21
1005,28,Apples,2024-01-02 04:00:00,3,44.68
1005,28,Butter,2024-01-02 04:00:00,3,116.1
1048,29,Cheese,2024-01-02 05:00:00,1,76.29
1048,29,Coffee,2024-01-02 05:00:00,1,75.05
1048,29,Pasta,2024-01-02 05:00:00,1,65.79
1048,29,Eggs,2024-01-02 05:00:00,2,142.88
1033,30,Sugar,2024-01-02 06:00:00,1,123.57
1033,30,Beef,2024-01-02 06:00:00,3,141.81
1033,30,Rice,2024-01-02 06:00:00,3,124.86
